Date,AAPL,GLD,JPM,MSFT,TLT,XOM
2020-03-30,61.75605773925781,152.9199981689453,80.13741302490234,153.0876922607422,143.72743225097656,29.311954498291016
2020-03-31,61.630027770996094,148.0500030517578,77.163330078125,150.68003845214844,142.5607147216797,29.679340362548828
2020-04-01,58.38724136352539,149.4499969482422,72.30365753173828,145.32965087890625,144.55813598632812,29.33540916442871
2020-04-02,59.361534118652344,151.89999389648438,75.00347900390625,148.33924865722656,145.47544860839844,31.578750610351562
2020-04-03,58.50843048095703,152.64999389648438,72.78655242919922,146.97299194335938,145.82164001464844,30.648582458496094
2020-04-06,63.6125373840332,156.8800048828125,77.4715805053711,157.90304565429688,145.4408416748047,31.633460998535156
2020-04-07,62.875770568847656,156.0399932861328,78.49342346191406,156.20237731933594,143.917724609375,32.2353401184082
2020-04-08,64.48505401611328,154.64999389648438,81.66295623779297,157.76925659179688,142.8705291748047,34.27544021606445
2020-04-09,64.95037841796875,158.69000244140625,88.98922729492188,157.77882385253906,143.13023376464844,33.7126579284668
2020-04-13,66.22520446777344,161.41000366210938,85.03165435791016,158.13232421875,141.8234100341797,33.42345428466797
2020-04-14,69.56979370117188,162.67999267578125,82.70215606689453,165.95730590820312,141.7887420654297,33.16550064086914
2020-04-15,68.93480682373047,161.85000610351562,78.62332153320312,164.2184295654297,145.54469299316406,31.64128303527832
2020-04-16,69.48255157470703,161.7100067138672,75.62699890136719,169.14837646484375,147.19764709472656,30.601682662963867
2020-04-17,68.53974151611328,158.57000732421875,82.42503356933594,170.6388397216797,145.2244873046875,33.783016204833984
2020-04-20,67.1170883178711,159.6999969482422,79.42005157470703,167.2566375732422,146.39280700683594,32.188438415527344
2020-04-21,65.04248046875,158.61000061035156,77.11648559570312,160.33937072753906,148.23609924316406,32.016475677490234
2020-04-22,66.91592407226562,161.72999572753906,77.36764526367188,165.78530883789062,146.72157287597656,32.931007385253906
2020-04-23,66.65660095214844,163.33999633789062,77.41094207763672,163.7788848876953,147.50050354003906,33.96279525756836
2020-04-24,68.58094024658203,162.63999938964844,78.55403900146484,166.76939392089844,147.84664916992188,34.18164825439453
2020-04-27,68.62943267822266,161.55999755859375,81.94007110595703,166.29165649414062,145.0946807861328,34.345802307128906
2020-04-28,67.5169906616211,160.83999633789062,82.5202865600586,162.2406768798828,146.76490783691406,35.150901794433594
2020-04-29,69.7345962524414,161.72999572753906,84.74588775634766,169.52098083496094,146.00332641601562,37.097206115722656
2020-04-30,71.20572662353516,158.8000030517578,82.92729187011719,171.2216796875,144.2985076904297,36.32338333129883
2020-05-01,70.05934143066406,159.77999877929688,80.75366973876953,166.78851318359375,145.53421020507812,33.72047424316406
2020-05-04,71.05062103271484,160.33999633789062,79.79241943359375,170.86814880371094,144.84963989257812,35.08054733276367
2020-05-05,72.11700439453125,161.02000427246094,79.67115783691406,172.70257568359375,143.9224395751953,35.041473388671875
2020-05-06,72.8610610961914,158.9499969482422,78.1729965209961,174.4032440185547,141.60018920898438,34.384883880615234
2020-05-07,73.61479949951172,161.38999938964844,78.9870376586914,175.41598510742188,143.96578979492188,34.58029556274414
2020-05-08,75.36695861816406,160.4199981689453,80.27735900878906,176.44784545898438,142.0940399169922,36.09669876098633
2020-05-11,76.55286407470703,159.4199981689453,77.9132080078125,178.416015625,140.98484802246094,35.75278091430664
2020-05-12,75.6780014038086,160.0399932861328,75.36719512939453,174.37454223632812,142.4319305419922,35.1551628112793
2020-05-13,74.7642593383789,161.5800018310547,72.76921844482422,171.73760986328125,143.42849731445312,33.41016387939453
2020-05-14,75.22357177734375,163.00999450683594,75.79153442382812,172.48281860351562,144.83226013183594,33.70497512817383
2020-05-15,74.77883911132812,163.92999267578125,74.38861846923828,174.99560546875,144.45968627929688,33.4659309387207
2020-05-18,76.54069519042969,162.69000244140625,78.3288803100586,176.66763305664062,141.2881622314453,36.12727355957031
2020-05-19,76.09844207763672,164.25999450683594,76.78743743896484,175.44468688964844,141.8167724609375,35.01173782348633
2020-05-20,77.57839965820312,164.64999389648438,79.09095764160156,177.87820434570312,142.24139404296875,36.15117645263672
2020-05-21,77.00001525878906,162.25,78.08641052246094,175.74163818359375,142.5966796875,35.50576400756836
2020-05-22,77.49578094482422,163.2100067138672,77.480224609375,175.8183135986328,143.4544219970703,35.53763198852539
2020-05-26,76.97086334228516,160.88999938964844,82.97923278808594,173.95962524414062,141.53079223632812,36.581459045410156
2020-05-27,77.30623626708984,161.17999267578125,87.78550720214844,174.18955993652344,141.2708282470703,36.84440612792969
2020-05-28,77.34024810791016,161.72000122070312,86.47786712646484,173.7967071533203,140.75094604492188,35.888221740722656
2020-05-29,77.26490783691406,162.91000366210938,84.26959991455078,175.56918334960938,141.75608825683594,36.23086166381836
2020-06-01,78.2151107788086,163.66000366210938,85.38671112060547,175.16677856445312,140.8016815185547,36.87627410888672
2020-06-02,78.57720947265625,162.60000610351562,85.6724853515625,177.1596221923828,140.28981018066406,37.69697952270508
2020-06-03,79.00978088378906,159.60000610351562,90.296875,177.59072875976562,138.4243927001953,39.23481750488281
2020-06-04,78.3293228149414,161.27999877929688,92.17607116699219,175.25302124023438,136.42002868652344,39.12327194213867
2020-06-05,80.56024169921875,158.00999450683594,96.32418060302734,179.35362243652344,135.44833374023438,42.2945671081543
2020-06-08,81.03655242919922,159.72000122070312,98.24666595458984,180.4650421142578,135.96897888183594,43.61726760864258
2020-06-09,83.59551239013672,161.25999450683594,95.72663879394531,181.8446502685547,137.5132598876953,42.64516067504883
2020-06-10,85.7462158203125,163.57000732421875,91.84700775146484,188.58958435058594,139.55227661132812,40.35832214355469
2020-06-11,81.6295166015625,162.38999938964844,84.18299102783203,178.4626007080078,142.18997192382812,36.796592712402344
2020-06-12,82.3342514038086,162.6199951171875,86.48653411865234,179.8709716796875,140.8190155029297,37.58543014526367
2020-06-15,83.35249328613281,162.3300018310547,87.68157196044922,181.0206756591797,140.89710998535156,37.56153106689453
2020-06-16,85.56153106689453,162.25,88.3830337524414,185.45663452148438,138.73666381835938,38.40614318847656
2020-06-17,85.44245147705078,162.55999755859375,86.14877319335938,186.0985565185547,139.309326171875,37.1551513671875
2020-06-18,85.47645568847656,162.24000549316406,85.68115234375,188.0913848876953,140.78427124023438,37.386226654052734
2020-06-19,84.98799133300781,164.02999877929688,84.70256805419922,186.9704132080078,140.89710998535156,36.637237548828125
2020-06-22,87.21163177490234,165.08999633789062,83.78461456298828,192.16322326660156,140.91448974609375,36.98782730102539
2020-06-23,89.07311248779297,166.47999572753906,84.80651092529297,193.44708251953125,139.95143127441406,37.210933685302734
2020-06-24,87.50080108642578,165.89999389648438,81.97470092773438,189.5476837158203,141.45237731933594,35.45795822143555
2020-06-25,88.66242218017578,165.8000030517578,84.83246612548828,191.94284057617188,141.86013793945312,35.99180603027344
